GeNeG_resource,GeNeG_resource_alias,Wikidata_resource,Wikidata_alias,Wikidata_label
http://geneg.net/resource/Wiedervereinigung_Deutschland,Wiedervereinigung Deutschland,https://www.wikidata.org/wiki/Q56039,"('Wiedervereinigung Deutschlands', 98)",Deutsche_Wiedervereinigung
http://geneg.net/resource/Schieder,@SCHIEDER,https://www.wikidata.org/wiki/Q50889,"('Schieder', 100)",Schieder-Schwalenberg
http://geneg.net/resource/Gunther,GUNTHER,https://www.wikidata.org/wiki/Q1555002,"('Gunther', 100)",Gunther_Von_Bamberg
http://geneg.net/resource/Bad_Tölz/Wolfratshausen,Bad Tölz/Wolfratshausen,https://www.wikidata.org/wiki/Q10522,"('Bad Tölz-Wolfratshausen', 100)",Landkreis_Bad_Tölz-Wolfratshausen
http://geneg.net/resource/BDS-Movement,BDS-Movement,https://www.wikidata.org/wiki/Q895904,"('BDS Movement', 100)","Boycott,_Divestment_and_Sanctions"
http://geneg.net/resource/Abdel_Fattah_Es-Sisi,Abdel Fattah es-Sisi,https://www.wikidata.org/wiki/Q307871,"('Abdel Fattah el-Sisi', 95)",Abd_Al-Fattah_as-Sisi
http://geneg.net/resource/Of,of,https://www.wikidata.org/wiki/Q1142885,"('OF', 100)",Outfielder
http://geneg.net/resource/Intermediate_Range_Nuclear_Forces,Intermediate Range Nuclear Forces,https://www.wikidata.org/wiki/Q169401,"('Intermediate Range Nuclear Forces', 100)",INF-Vertrag
http://geneg.net/resource/Junge_Alternative,Junge Alternative,https://www.wikidata.org/wiki/Q23541630,"('Junge Alternative', 100)",Junge_Alternative_Für_Deutschland
http://geneg.net/resource/Sozialverbandes_VDK_Deutschland_Ev,Sozialverbandes VdK Deutschland e. V.,https://www.wikidata.org/wiki/Q1604553,"('Sozialverband VdK Deutschland e. V.', 97)",Sozialverband_VdK_Deutschland
http://geneg.net/resource/Galeria_Kaufhof_Karstadt,Galeria/Kaufhof/Karstadt,https://www.wikidata.org/wiki/Q80220059,"('Galeria Karstadt Kaufhof', 100)",Galeria
http://geneg.net/resource/Balkan-Staaten,Balkan-Staaten,https://www.wikidata.org/wiki/Q23522,"('Balkanstaaten', 96)",Balkanhalbinsel
http://geneg.net/resource/Salvini,salvini,https://www.wikidata.org/wiki/Q1055449,"('Salvini', 100)",Matteo_Salvini
http://geneg.net/resource/Unep,Unep,https://www.wikidata.org/wiki/Q182016,"('UNEP', 100)",Umweltprogramm_Der_Vereinten_Nationen
