GeNeG_resource,Wikidata_resource,Matched_label
http://geneg.net/resource/Shanghai,https://www.wikidata.org/wiki/Q8686,Shanghai
http://geneg.net/resource/Pulse_of_Europe,https://www.wikidata.org/wiki/Q28746168,Pulse_of_Europe
http://geneg.net/resource/Hermannplatz,https://www.wikidata.org/wiki/Q1613362,Hermannplatz
http://geneg.net/resource/Marine_Le_Pen,https://www.wikidata.org/wiki/Q12927,Marine_Le_Pen
http://geneg.net/resource/Joschka_Fischer,https://www.wikidata.org/wiki/Q57344,Joschka_Fischer
http://geneg.net/resource/Fred_Hampton,https://www.wikidata.org/wiki/Q1452355,Fred_Hampton
http://geneg.net/resource/Tadschikistan,https://www.wikidata.org/wiki/Q863,Tadschikistan
http://geneg.net/resource/Kirstjen_Nielsen,https://www.wikidata.org/wiki/Q38858352,Kirstjen_Nielsen
http://geneg.net/resource/Wolf,https://www.wikidata.org/wiki/Q18498,Wolf
http://geneg.net/resource/Prag,https://www.wikidata.org/wiki/Q1085,Prag
http://geneg.net/resource/Monitor,https://www.wikidata.org/wiki/Q1234602,Monitor
http://geneg.net/resource/Václav_Havel,https://www.wikidata.org/wiki/Q36233,Václav_Havel
http://geneg.net/resource/Oxford,https://www.wikidata.org/wiki/Q34217,Oxford
http://geneg.net/resource/Freital,https://www.wikidata.org/wiki/Q5870,Freital
http://geneg.net/resource/Miesbach,https://www.wikidata.org/wiki/Q269157,Miesbach
http://geneg.net/resource/David-Maria_Sassoli,https://www.wikidata.org/wiki/Q2391857,David-Maria_Sassoli
http://geneg.net/resource/Tagesschau,https://www.wikidata.org/wiki/Q703907,Tagesschau
http://geneg.net/resource/Paris,https://www.wikidata.org/wiki/Q90,Paris
http://geneg.net/resource/Power,https://www.wikidata.org/wiki/Q15072855,Power
http://geneg.net/resource/Der,https://www.wikidata.org/wiki/Q262432,Der
http://geneg.net/resource/Griechenland,https://www.wikidata.org/wiki/Q41,Griechenland
http://geneg.net/resource/Institut_Der_Deutschen_Wirtschaft,https://www.wikidata.org/wiki/Q958316,Institut_Der_Deutschen_Wirtschaft
http://geneg.net/resource/The_Police,https://www.wikidata.org/wiki/Q178095,The_Police
http://geneg.net/resource/Toskana,https://www.wikidata.org/wiki/Q1273,Toskana
http://geneg.net/resource/Deutscher_Wetterdienst,https://www.wikidata.org/wiki/Q325859,Deutscher_Wetterdienst
http://geneg.net/resource/Hillary_Clinton,https://www.wikidata.org/wiki/Q6294,Hillary_Clinton
http://geneg.net/resource/Fake_News,https://www.wikidata.org/wiki/Q28549308,Fake_News
http://geneg.net/resource/Südkurier,https://www.wikidata.org/wiki/Q885282,Südkurier
http://geneg.net/resource/Frankfurt_Am_Main,https://www.wikidata.org/wiki/Q1794,Frankfurt_Am_Main
http://geneg.net/resource/Messias,https://www.wikidata.org/wiki/Q51626,Messias
http://geneg.net/resource/Grün,https://www.wikidata.org/wiki/Q3133,Grün
http://geneg.net/resource/Il_Fatto_Quotidiano,https://www.wikidata.org/wiki/Q1051087,Il_Fatto_Quotidiano
http://geneg.net/resource/Attac,https://www.wikidata.org/wiki/Q118626,Attac
http://geneg.net/resource/Nürnberg,https://www.wikidata.org/wiki/Q2090,Nürnberg
http://geneg.net/resource/Focus_Online,https://www.wikidata.org/wiki/Q33108673,Focus_Online
http://geneg.net/resource/Snowden,https://www.wikidata.org/wiki/Q19315473,Snowden
http://geneg.net/resource/Weimarer_Republik,https://www.wikidata.org/wiki/Q41304,Weimarer_Republik
http://geneg.net/resource/Save_the_Children,https://www.wikidata.org/wiki/Q215934,Save_the_Children
http://geneg.net/resource/New_Mexico,https://www.wikidata.org/wiki/Q1522,New_Mexico
http://geneg.net/resource/Defender,https://www.wikidata.org/wiki/Q1182593,Defender
http://geneg.net/resource/Pixabay,https://www.wikidata.org/wiki/Q1746538,Pixabay
http://geneg.net/resource/Euro-Gruppe,https://www.wikidata.org/wiki/Q149964,Euro-Gruppe
http://geneg.net/resource/Michael_Kretschmer,https://www.wikidata.org/wiki/Q1928299,Michael_Kretschmer
http://geneg.net/resource/Erfurt,https://www.wikidata.org/wiki/Q1729,Erfurt
http://geneg.net/resource/Globe,https://www.wikidata.org/wiki/Q79823,Globe
http://geneg.net/resource/Chanel,https://www.wikidata.org/wiki/Q218115,Chanel
http://geneg.net/resource/Ai_Weiwei,https://www.wikidata.org/wiki/Q160115,Ai_Weiwei
http://geneg.net/resource/Tina_Fischer,https://www.wikidata.org/wiki/Q1303516,Tina_Fischer
http://geneg.net/resource/Frank-Walter_Steinmeier,https://www.wikidata.org/wiki/Q76658,Frank-Walter_Steinmeier
http://geneg.net/resource/Donald,https://www.wikidata.org/wiki/Q13422248,Donald
http://geneg.net/resource/Junge_Freiheit,https://www.wikidata.org/wiki/Q157948,Junge_Freiheit
http://geneg.net/resource/Washington,https://www.wikidata.org/wiki/Q1223,Washington
http://geneg.net/resource/Lagos,https://www.wikidata.org/wiki/Q8673,Lagos
http://geneg.net/resource/Solingen,https://www.wikidata.org/wiki/Q2942,Solingen
http://geneg.net/resource/Joe_Biden,https://www.wikidata.org/wiki/Q6279,Joe_Biden
http://geneg.net/resource/Vera_Lengsfeld,https://www.wikidata.org/wiki/Q107737,Vera_Lengsfeld
http://geneg.net/resource/Split,https://www.wikidata.org/wiki/Q1663,Split
http://geneg.net/resource/Bogotá,https://www.wikidata.org/wiki/Q2841,Bogotá
http://geneg.net/resource/Aida,https://www.wikidata.org/wiki/Q171277,Aida
http://geneg.net/resource/Water_Makes_Money,https://www.wikidata.org/wiki/Q1374143,Water_Makes_Money
http://geneg.net/resource/Katwarn,https://www.wikidata.org/wiki/Q1718418,Katwarn
http://geneg.net/resource/Russland,https://www.wikidata.org/wiki/Q159,Russland
http://geneg.net/resource/Bahncard,https://www.wikidata.org/wiki/Q800271,Bahncard
http://geneg.net/resource/Armenien,https://www.wikidata.org/wiki/Q399,Armenien
http://geneg.net/resource/Fünf_Sterne,https://www.wikidata.org/wiki/Q29579063,Fünf_Sterne
http://geneg.net/resource/Nancy_Pelosi,https://www.wikidata.org/wiki/Q170581,Nancy_Pelosi
http://geneg.net/resource/Open_Arms,https://www.wikidata.org/wiki/Q51280932,Open_Arms
http://geneg.net/resource/Bild,https://www.wikidata.org/wiki/Q156203,Bild
http://geneg.net/resource/Future,https://www.wikidata.org/wiki/Q3445057,Future
http://geneg.net/resource/Diepholz,https://www.wikidata.org/wiki/Q498534,Diepholz
http://geneg.net/resource/Ain_Al-Arab,https://www.wikidata.org/wiki/Q126415,Ain_Al-Arab
http://geneg.net/resource/Jean-Luc_Nancy,https://www.wikidata.org/wiki/Q503017,Jean-Luc_Nancy
http://geneg.net/resource/Georg_Restle,https://www.wikidata.org/wiki/Q15811765,Georg_Restle
http://geneg.net/resource/Straße_Des_17._Juni,https://www.wikidata.org/wiki/Q317094,Straße_Des_17._Juni
http://geneg.net/resource/Campus,https://www.wikidata.org/wiki/Q209465,Campus
http://geneg.net/resource/Bayern_2,https://www.wikidata.org/wiki/Q812474,Bayern_2
