GeNeG_resource,other_GeNeG_resource_w_alias_len,Matching node,Matched_label
http://geneg.net/resource/Uni-Duisburg,"[('http://geneg.net/resource/Uni_Duisburg', 1)]",http://geneg.net/resource/Uni_Duisburg,Uni_Duisburg
http://geneg.net/resource/Cdu-Interne,"[('http://geneg.net/resource/Cdu-Internen', 1)]",http://geneg.net/resource/Cdu-Internen,Cdu-Internen
http://geneg.net/resource/Hock-Alexej,"[('http://geneg.net/resource/Alexej_Hock', 1)]",http://geneg.net/resource/Alexej_Hock,Alexej_Hock
http://geneg.net/resource/Eu-Innenministertreffen,"[('http://geneg.net/resource/Eu-Innenminister-Treffen', 1)]",http://geneg.net/resource/Eu-Innenminister-Treffen,Eu-Innenminister-Treffen
http://geneg.net/resource/Michael_Riechers,"[('http://geneg.net/resource/Michael_Riecher', 1)]",http://geneg.net/resource/Michael_Riecher,Michael_Riecher
http://geneg.net/resource/Moria_Camp,"[('http://geneg.net/resource/Camp_Moria', 1)]",http://geneg.net/resource/Camp_Moria,Camp_Moria
http://geneg.net/resource/Eu-Beschlüsse,"[('http://geneg.net/resource/Eu-Beschlüssen', 1)]",http://geneg.net/resource/Eu-Beschlüssen,Eu-Beschlüssen
http://geneg.net/resource/Bundesamts_Für_Migration,"[('http://geneg.net/resource/Bundesamtes_Für_Migration', 1)]",http://geneg.net/resource/Bundesamtes_Für_Migration,Bundesamtes_Für_Migration
http://geneg.net/resource/Miri-Clan-Chefs,"[('http://geneg.net/resource/Miri-Clan-Chef', 1)]",http://geneg.net/resource/Miri-Clan-Chef,Miri-Clan-Chef
http://geneg.net/resource/L.S.Gabriel,"[('http://geneg.net/resource/L.S.GABRIEL', 1)]",http://geneg.net/resource/L.S.GABRIEL,L.S.GABRIEL
http://geneg.net/resource/Steingarts,"[('http://geneg.net/resource/Steingart', 1)]",http://geneg.net/resource/Steingart,Steingart
http://geneg.net/resource/Facebook-Auftritt,"[('http://geneg.net/resource/Facebook-Autritt', 1)]",http://geneg.net/resource/Facebook-Autritt,Facebook-Autritt
http://geneg.net/resource/Subsahara_Afrikas,"[('http://geneg.net/resource/Subsahara-Afrikas', 1)]",http://geneg.net/resource/Subsahara-Afrikas,Subsahara-Afrikas
http://geneg.net/resource/Inga_Griese,"[('http://geneg.net/resource/Griese-Inga', 1)]",http://geneg.net/resource/Griese-Inga,Griese-Inga
http://geneg.net/resource/Unionsspitzenkandidaten,"[('http://geneg.net/resource/Unionsspitzenkandidat', 1)]",http://geneg.net/resource/Unionsspitzenkandidat,Unionsspitzenkandidat
http://geneg.net/resource/Amerikafeindlich,"[('http://geneg.net/resource/Amerika-Feindlich', 1)]",http://geneg.net/resource/Amerika-Feindlich,Amerika-Feindlich
http://geneg.net/resource/Us-Mitarbeiter,"[('http://geneg.net/resource/Us-Mitarbeitern', 1)]",http://geneg.net/resource/Us-Mitarbeitern,Us-Mitarbeitern
http://geneg.net/resource/Ekd-Ratsvorsitzender,"[('http://geneg.net/resource/Ekd-Ratsvorsitzende', 1)]",http://geneg.net/resource/Ekd-Ratsvorsitzende,Ekd-Ratsvorsitzende
http://geneg.net/resource/Mittelmeeranrainer,"[('http://geneg.net/resource/Mittelmeeranrainern', 1)]",http://geneg.net/resource/Mittelmeeranrainern,Mittelmeeranrainern
http://geneg.net/resource/Ägais-Inseln,"[('http://geneg.net/resource/Ägäis-Inseln', 2)]",http://geneg.net/resource/Ägäis-Inseln,Ägäis-Inseln
http://geneg.net/resource/SPD-Finanzministers,"[('http://geneg.net/resource/SPD-Finanzminister', 1)]",http://geneg.net/resource/SPD-Finanzminister,SPD-Finanzminister
http://geneg.net/resource/López_Obradors,"[('http://geneg.net/resource/López_Obrador', 1)]",http://geneg.net/resource/López_Obrador,López_Obrador
http://geneg.net/resource/Universidadinternacionalista,"[('http://geneg.net/resource/Universidadinternaciomalista', 1)]",http://geneg.net/resource/Universidadinternaciomalista,Universidadinternaciomalista
http://geneg.net/resource/Compact_Digital+,"[('http://geneg.net/resource/Compact-Digital+', 1)]",http://geneg.net/resource/Compact-Digital+,Compact-Digital+
http://geneg.net/resource/Fraunhofer_Institut,"[('http://geneg.net/resource/Fraunhofer_Instituts', 1)]",http://geneg.net/resource/Fraunhofer_Instituts,Fraunhofer_Instituts
http://geneg.net/resource/Deutschland_Frankreich,"[('http://geneg.net/resource/Deutschland/Frankreich', 1)]",http://geneg.net/resource/Deutschland/Frankreich,Deutschland/Frankreich
http://geneg.net/resource/Eberhard_Schultz,"[('http://geneg.net/resource/Schultz_Eberhard', 1)]",http://geneg.net/resource/Schultz_Eberhard,Schultz_Eberhard
http://geneg.net/resource/http://aldeilis.net/berlin/B736.pdf,"[('http://geneg.net/resource/http://aldeilis.net/berlin/B734.pdf', 2)]",http://geneg.net/resource/http://aldeilis.net/berlin/B734.pdf,http://aldeilis.net/berlin/B734.pdf
http://geneg.net/resource/SPD-Landesinnenminister,"[('http://geneg.net/resource/SPD-Landesinnenministern', 1)]",http://geneg.net/resource/SPD-Landesinnenministern,SPD-Landesinnenministern
http://geneg.net/resource/Helene_heuser,"[('http://geneg.net/resource/Helene_Heuser', 1)]",http://geneg.net/resource/Helene_Heuser,Helene_Heuser
http://geneg.net/resource/Elizabeth_Gómez_Alcorta,"[('http://geneg.net/resource/Elizabeth_Goméz_Alcorta', 1)]",http://geneg.net/resource/Elizabeth_Goméz_Alcorta,Elizabeth_Goméz_Alcorta
http://geneg.net/resource/Astana-Format,"[('http://geneg.net/resource/Astana-Formats', 1)]",http://geneg.net/resource/Astana-Formats,Astana-Formats
http://geneg.net/resource/Böhmischen_Dorf,"[('http://geneg.net/resource/Böhmische_Dorf', 1)]",http://geneg.net/resource/Böhmische_Dorf,Böhmische_Dorf
http://geneg.net/resource/Us-Grenze,"[('http://geneg.net/resource/Us-Grenzen', 1)]",http://geneg.net/resource/Us-Grenzen,Us-Grenzen
http://geneg.net/resource/Us-Beamter,"[('http://geneg.net/resource/Us-Beamte', 1)]",http://geneg.net/resource/Us-Beamte,Us-Beamte
