GeNeG_resource,GeNeG_resource_alias,Wikidata_resource_w_alias_len,Matching node,Matched_alias
http://geneg.net/resource/Hitlerdeutschlands,Hitlerdeutschlands,"[('https://www.wikidata.org/wiki/Q518617', 13), ('https://www.wikidata.org/wiki/Q7318', 24)]",https://www.wikidata.org/wiki/Q7318,"('Hitlerdeutschland', 97)"
http://geneg.net/resource/Scharpings,Scharpings,"[('https://www.wikidata.org/wiki/Q61321', 2), ('https://www.wikidata.org/wiki/Q1668909', 1)]",https://www.wikidata.org/wiki/Q61321,"('Scharping', 95)"
http://geneg.net/resource/De_Maizieres,de Maizières,"[('https://www.wikidata.org/wiki/Q57364', 9), ('https://www.wikidata.org/wiki/Q57412', 1)]",https://www.wikidata.org/wiki/Q57364,"('de Maizière', 95)"
http://geneg.net/resource/Freiburg,FREIBURG,"[('https://www.wikidata.org/wiki/Q12640', 7), ('https://www.wikidata.org/wiki/Q2833', 5), ('https://www.wikidata.org/wiki/Q153987', 14)]",https://www.wikidata.org/wiki/Q153987,"('Freiburg', 100)"
http://geneg.net/resource/Red-Bull,Red-Bull-,"[('https://www.wikidata.org/wiki/Q994811', 14), ('https://www.wikidata.org/wiki/Q698639', 4), ('https://www.wikidata.org/wiki/Q173663', 6)]",https://www.wikidata.org/wiki/Q994811,"('Red Bull', 100)"
http://geneg.net/resource/Fiß,Fiß,"[('https://www.wikidata.org/wiki/Q1412', 8), ('https://www.wikidata.org/wiki/Q33', 11)]",https://www.wikidata.org/wiki/Q33,"('fi', 100)"
http://geneg.net/resource/In,", in","[('https://www.wikidata.org/wiki/Q1415', 7), ('https://www.wikidata.org/wiki/Q668', 11)]",https://www.wikidata.org/wiki/Q668,"('IN', 100)"
http://geneg.net/resource/Wolfgang,WOLFGANG,"[('https://www.wikidata.org/wiki/Q60889', 3), ('https://www.wikidata.org/wiki/Q106809', 1)]",https://www.wikidata.org/wiki/Q60889,"('Wolfgang', 100)"
http://geneg.net/resource/Black,BLACK,"[('https://www.wikidata.org/wiki/Q132438', 3), ('https://www.wikidata.org/wiki/Q459752', 3)]",https://www.wikidata.org/wiki/Q132438,"('Black', 100)"
http://geneg.net/resource/Simon,Simon &,"[('https://www.wikidata.org/wiki/Q33923', 19), ('https://www.wikidata.org/wiki/Q394643', 3)]",https://www.wikidata.org/wiki/Q33923,"('Simon', 100)"
